date,high,open,close,low,amount,vol
20060222,1296,-2,1290.25,1286.5,0.394736842,9.5
20060223,1294.25,2.75,1293,1287,0.827586207,7.25
20060226,1299.75,1,1294,1292,0.258064516,7.75
20060227,1295,-11.5,1282.5,1280,0.166666667,15
20060228,1293.5,9.5,1292,1281.5,0.875,12
20060301,1293,-0.5,1291.5,1284.25,0.828571429,8.75
20060302,1299,-5,1286.5,1280,0.342105263,19
20060305,1291.25,-7,1279.5,1276.25,0.216666667,15
20060306,1279.5,-2,1277.5,1271.75,0.741935484,7.75
20060307,1281.75,2,1279.5,1268.75,0.826923077,13
20060308,1283.75,-7.5,1272,1271.5,0.040816327,12.25
20060309,1295.5,21,1293,1280.75,0.830508475,14.75
20060312,1298.75,2.75,1295.75,1292.25,0.538461538,6.5
20060313,1309.75,13,1308.75,1292.5,0.942028986,17.25
20060314,1315.5,5.5,1314.25,1305.25,0.87804878,10.25
20060315,1321.5,2.5,1316.75,1311.5,0.525,10
20060316,1320.75,0.75,1317.5,1314.75,0.458333333,6
20060319,1321,-2,1315.5,1313.5,0.266666667,7.5
20060320,1321.5,-8,1307.5,1305.5,0.125,16
20060321,1316,7,1314.5,1304.75,0.866666667,11.25
20060322,1316,-2.75,1311.75,1307,0.527777778,9
20060323,1316.25,1,1312.75,1307.5,0.6,8.75
20060326,1314.5,-1.75,1311,1307.75,0.481481481,6.75
20060327,1315.5,-8.5,1302.5,1300.25,0.147540984,15.25
20060328,1315,7.5,1310,1300.75,0.649122807,14.25
20060329,1319.25,-2.5,1307.5,1304.75,0.189655172,14.5
20060330,1311.75,0,1307.5,1302.75,0.527777778,9
20060402,1318,-1.75,1305.75,1304.25,0.109090909,13.75
20060403,1316.25,9,1314.75,1302.25,0.892857143,14
20060404,1321.25,4.25,1319,1312.25,0.75,9
20060405,1320.5,-1.5,1317.5,1310,0.714285714,10.5
20060406,1324,-13.5,1304,1301.25,0.120879121,22.75
20060409,1308.75,1.5,1305.5,1300.25,0.617647059,8.5
20060410,1307.75,-11.5,1294,1289.25,0.256756757,18.5
20060411,1298.25,1.5,1295.5,1292.5,0.52173913,5.75
20060412,1299.25,-1.25,1294.25,1289.5,0.487179487,9.75
20060416,1299.25,-1.25,1293,1286.5,0.509803922,12.75
20060417,1316,20.5,1313.5,1292.5,0.893617021,23.5
20060418,1318.75,1.75,1315.25,1308.25,0.666666667,10.5
